accuracy,balanced_accuracy,precision,recall,f1,confusion_matrix,held_out_date,model,n_test,labels,granularity
0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,"[[1, 2], [1, 2]]",2026-09-21,svm,6,shuffled_4,session
0.45,0.44999999999999996,0.4594594594594595,0.5666666666666667,0.5074626865671642,"[[60, 120], [78, 102]]",2026-09-21,random_forest,360,shuffled_4,window
0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,"[[1, 2], [1, 2]]",2026-09-21,random_forest,6,shuffled_4,session
0.5138888888888888,0.5138888888888888,0.509090909090909,0.7777777777777778,0.6153846153846154,"[[45, 135], [40, 140]]",2026-09-21,cnn_lstm,360,shuffled_4,window
0.5,0.5,0.5,1.0,0.6666666666666666,"[[0, 3], [0, 3]]",2026-09-21,cnn_lstm,6,shuffled_4,session
0.46904761904761905,0.5027777777777778,0.43042071197411,0.7388888888888889,0.5439672801635992,"[[64, 176], [47, 133]]",2026-09-22,svm,420,shuffled_4,window
0.42857142857142855,0.5,0.42857142857142855,1.0,0.6,"[[0, 4], [0, 3]]",2026-09-22,svm,7,shuffled_4,session
0.45476190476190476,0.49375,0.4246153846153846,0.7666666666666667,0.5465346534653466,"[[53, 187], [42, 138]]",2026-09-22,random_forest,420,shuffled_4,window
0.42857142857142855,0.5,0.42857142857142855,1.0,0.6,"[[0, 4], [0, 3]]",2026-09-22,random_forest,7,shuffled_4,session
0.4976190476190476,0.5326388888888889,0.45016077170418006,0.7777777777777778,0.570264765784114,"[[69, 171], [40, 140]]",2026-09-22,cnn_lstm,420,shuffled_4,window
0.5714285714285714,0.625,0.5,1.0,0.6666666666666666,"[[1, 3], [0, 3]]",2026-09-22,cnn_lstm,7,shuffled_4,session
0.45,0.5177777777777778,0.6607142857142857,0.24666666666666667,0.3592233009708738,"[[142, 38], [226, 74]]",2026-09-24,svm,480,shuffled_4,window
0.375,0.5,0.0,0.0,0.0,"[[3, 0], [5, 0]]",2026-09-24,svm,8,shuffled_4,session
0.4666666666666667,0.4955555555555556,0.6195652173913043,0.38,0.47107438016528924,"[[110, 70], [186, 114]]",2026-09-24,random_forest,480,shuffled_4,window
0.375,0.5,0.0,0.0,0.0,"[[3, 0], [5, 0]]",2026-09-24,random_forest,8,shuffled_4,session
0.6229166666666667,0.4994444444444444,0.6247379454926625,0.9933333333333333,0.767052767052767,"[[1, 179], [2, 298]]",2026-09-24,cnn_lstm,480,shuffled_4,window
0.625,0.5,0.625,1.0,0.7692307692307693,"[[0, 3], [0, 5]]",2026-09-24,cnn_lstm,8,shuffled_4,session
